,id,gun_id,stage_id,description,scripts,title,prize_id
67,68,20029,4,,29_4,,4004
68,69,37,1,,37_1,,4001
69,70,20037,2,,37_2,,4002
70,71,20037,3,,37_3,,4003
71,72,20037,4,,37_4,,4004
72,73,64,1,,64_1,,4001
73,74,20064,2,,64_2,,4002
74,75,20064,3,,64_3,,4003
75,76,20064,4,,64_4,,4004
76,77,81,1,,81_1,,4001
77,78,20081,2,,81_2,,4002
78,79,20081,3,,81_3,,4003
79,80,20081,4,,81_4,,4004
80,81,32,1,,32_1,,4001
81,82,20032,2,,32_2,,4002
82,83,20032,3,,32_3,,4003
83,84,20032,4,,32_4,,4004
84,85,60,1,,60_1,,4001
85,86,20060,2,,60_2,,4002
86,87,20060,3,,60_3,,4003
87,88,20060,4,,60_4,,4004
88,89,61,1,,61_1,,4001
89,90,20061,2,,61_2,,4002
90,91,20061,3,,61_3,,4003
91,92,20061,4,,61_4,,4004
92,93,26,1,,26_1,,4001
93,94,20026,2,,26_2,,4002
94,95,20026,3,,26_3,,4003
95,96,20026,4,,26_4,,4004
96,97,65,1,,65_1,,4001
97,98,20065,2,,65_2,,4002
98,99,20065,3,,65_3,,4003
99,100,20065,4,,65_4,,4004
100,101,95,1,,95_1,,4001
101,102,20095,2,,95_2,,4002
102,103,20095,3,,95_3,,4003
103,104,20095,4,,95_4,,4004
104,105,101,1,,101_1,,4001
105,106,20101,2,,101_2,,4002
106,107,20101,3,,101_3,,4003
107,108,20101,4,,101_4,,4004
108,109,7,1,,7_1,,4001
109,110,20007,2,,7_2,,4002
110,111,20007,3,,7_3,,4003
111,112,20007,4,,7_4,,4004
112,113,12,1,,12_1,,4001
113,114,20012,2,,12_2,,4002
114,115,20012,3,,12_3,,4003
115,116,20012,4,,12_4,,4004
116,117,31,1,,31_1,,4001
117,118,20031,2,,31_2,,4002
118,119,20031,3,,31_3,,4003
119,120,20031,4,,31_4,,4004
120,121,53,1,,53_1,,4001
121,122,20053,2,,53_2,,4002
122,123,20053,3,,53_3,,4003
123,124,20053,4,,53_4,,4004
124,125,97,1,,97_1,,4001
125,126,20097,2,,97_2,,4002
126,127,20097,3,,97_3,,4003
127,128,20097,4,,97_4,,4004
128,129,154,1,,154_1,,4001
129,130,20154,2,,154_2,,4002
130,131,20154,3,,154_3,,4003
131,132,20154,4,,154_4,,4004
132,133,221,1,,221_1,,4001
133,134,20221,2,,221_2,,4002
134,135,20221,3,,221_3,,4003
135,136,20221,4,,221_4,,4004
136,137,252,1,,252_1,,4001
137,138,20252,2,,252_2,,4002
138,139,20252,3,,252_3,,4003
139,140,20252,4,,252_4,,4004
140,141,122,1,,122_1,,4001
141,142,20122,2,,122_2,,4002
142,143,20122,3,,122_3,,4003
143,144,20122,4,,122_4,,4004
144,145,124,1,,124_1,,4001
145,146,20124,2,,124_2,,4002
146,147,20124,3,,124_3,,4003
147,148,20124,4,,124_4,,4004
148,149,143,1,,143_1,,4001
149,150,20143,2,,143_2,,4002
150,151,20143,3,,143_3,,4003
151,152,20143,4,,143_4,,4004
152,153,161,1,,161_1,,4001
153,154,20161,2,,161_2,,4002
154,155,20161,3,,161_3,,4003
155,156,20161,4,,161_4,,4004
156,157,71,1,,71_1,,4001
157,158,20071,2,,71_2,,4002
158,159,20071,3,,71_3,,4003
159,160,20071,4,,71_4,,4004
160,161,136,1,,136_1,,4001
161,162,20136,2,,136_2,,4002
162,163,20136,3,,136_3,,4003
163,164,20136,4,,136_4,,4004
164,165,152,1,,152_1,,4001
165,166,20152,2,,152_2,,4002
166,167,20152,3,,152_3,,4003
167,168,20152,4,,152_4,,4004
168,169,49,1,,49_1,,4001
169,170,20049,2,,49_2,,4002
170,171,20049,3,,49_3,,4003
171,172,20049,4,,49_4,,4004
172,173,114,1,,114_1,,4001
173,174,20114,2,,114_2,,4002
174,175,20114,3,,114_3,,4003
175,176,20114,4,,114_4,,4004
176,177,178,1,,178_1,,4001
177,178,20178,2,,178_2,,4002
178,179,20178,3,,178_3,,4003
179,180,20178,4,,178_4,,4004
180,181,199,1,,199_1,,4001
181,182,20199,2,,199_2,,4002
182,183,20199,3,,199_3,,4003
183,184,20199,4,,199_4,,4004
184,185,8,1,,8_1,,4001
185,186,20008,2,,8_2,,4002
186,187,20008,3,,8_3,,4003
187,188,20008,4,,8_4,,4004
188,189,125,1,,125_1,,4001
189,190,20125,2,,125_2,,4002
190,191,20125,3,,125_3,,4003
191,192,20125,4,,125_4,,4004
192,193,159,1,,159_1,,4001
193,194,20159,2,,159_2,,4002
194,195,20159,3,,159_3,,4003
195,196,20159,4,,159_4,,4004
196,197,200,1,,200_1,,4001
197,198,20200,2,,200_2,,4002
198,199,20200,3,,200_3,,4003
199,200,20200,4,,200_4,,4004
200,201,104,1,,104_1,,4001
201,202,20104,2,,104_2,,4002
202,203,20104,3,,104_3,,4003
203,204,20104,4,,104_4,,4004
204,205,171,1,,171_1,,4001
205,206,20171,2,,171_2,,4002
206,207,20171,3,,171_3,,4003
207,208,20171,4,,171_4,,4004
208,209,201,1,,201_1,,4001
209,210,20201,2,,201_2,,4002
210,211,20201,3,,201_3,,4003
211,212,20201,4,,201_4,,4004
212,213,220,1,,220_1,,4001
213,214,20220,2,,220_2,,4002
214,215,20220,3,,220_3,,4003
215,216,20220,4,,220_4,,4004
216,217,21,1,,21_1,,4001
217,218,20021,2,,21_2,,4002
218,219,20021,3,,21_3,,4003
219,220,20021,4,,21_4,,4004
220,221,205,1,,205_1,,4001
221,222,20205,2,,205_2,,4002
222,223,20205,3,,205_3,,4003
223,224,20205,4,,205_4,,4004
224,225,216,1,,216_1,,4001
225,226,20216,2,,216_2,,4002
226,227,20216,3,,216_3,,4003
227,228,20216,4,,216_4,,4004
228,229,293,1,,293_1,,4001
229,230,20293,2,,293_2,,4002
230,231,20293,3,,293_3,,4003
231,232,20293,4,,293_4,,4004
232,233,10,1,,10_1,,4001
233,234,20010,2,,10_2,,4002
234,235,20010,3,,10_3,,4003
235,236,20010,4,,10_4,,4004
236,237,88,1,,88_1,,4001
237,238,20088,2,,88_2,,4002
238,239,20088,3,,88_3,,4003
239,240,20088,4,,88_4,,4004
240,241,115,1,,115_1,,4001
241,242,20115,2,,115_2,,4002
242,243,20115,3,,115_3,,4003
243,244,20115,4,,115_4,,4004
244,245,230,1,,230_1,,4001
245,246,20230,2,,230_2,,4002
246,247,20230,3,,230_3,,4003
247,248,20230,4,,230_4,,4004
